mouse,cluster,samplename,day,day_num,tissue,VSG,Percent,RPKM,hit_VSG,pct_id_vs_query,pct_id_vs_match,match_VSG_length,assembled_VSG_length,strain,experiment,tissue_final,mouse_final,space,strain_space,day_num_char
m1,Cluster 163,m1_d6_brain_S41_L001_R1_001.fastq,D6,6,brain,TRINITY_DN550_c0_g1_i1_1_1722_3234_m1_d6_brain_S41_L001_R1_001,54.6673317693,380783.3481939999,gnl|BL_ORD_ID|4884 Tbb1125VSG-4156 : N-terminus partial : 1521nt : contig PacBio-117,87.3015873016,86.78500986190001,1521,1512,AID,2,brain,m1_AID,tissues,AID tissues,6
m1,Cluster 163,m1_d6_scfat_S25_L001_R1_001.fastq,D6,6,scfat,TRINITY_DN0_c1_g1_i1_1_114_1626_RC_m1_d6_scfat_S25_L001_R1_001,29.523897464300003,212180.126386,gnl|BL_ORD_ID|4884 Tbb1125VSG-4156 : N-terminus partial : 1521nt : contig PacBio-117,87.3015873016,86.78500986190001,1521,1512,AID,2,scfat,m1_AID,tissues,AID tissues,6
m1,Cluster 163,m1_d6_lung_S32_L001_R1_001.fastq,D6,6,lung,TRINITY_DN0_c0_g1_i1_1_1723_3235_m1_d6_lung_S32_L001_R1_001,55.133161276,383651.881364,gnl|BL_ORD_ID|4884 Tbb1125VSG-4156 : N-terminus partial : 1521nt : contig PacBio-117,87.3015873016,86.78500986190001,1521,1512,AID,2,lung,m1_AID,tissues,AID tissues,6
m1,Cluster 163,m1_d6_gonadal_fat_S19_L001_R1_001.fastq,D6,6,gonadal,TRINITY_DN141_c0_g1_i1_1_1732_3244_m1_d6_gonadal_fat_S19_L001_R1_001,50.2867413701,352035.56554100005,gnl|BL_ORD_ID|4884 Tbb1125VSG-4156 : N-terminus partial : 1521nt : contig PacBio-117,87.3015873016,86.78500986190001,1521,1512,AID,2,gonadal,m1_AID,tissues,AID tissues,6
m1,Cluster 163,m1_d6_ear_S49_L001_R1_001.fastq,D6,6,ear,TRINITY_DN0_c0_g1_i1_1_1810_3322_m1_d6_ear_S49_L001_R1_001,51.793723486800005,365310.480887,gnl|BL_ORD_ID|4884 Tbb1125VSG-4156 : N-terminus partial : 1521nt : contig PacBio-117,87.3015873016,86.78500986190001,1521,1512,AID,2,skin,m1_AID,tissues,AID tissues,6
M12,Cluster 56,M12_D6_Lung,D6,6,lung,TRINITY_DN1_c0_g1_i1_1_1750_3262_M12_D6_Lung,96.5380717534,649883.748185,gnl|BL_ORD_ID|4884 Tbb1125VSG-4156 : N-terminus partial : 1521nt : contig PacBio-117,87.3015873016,86.7850098619,1521,1512,WT,1,lung,1,tissues,WT tissues,6
M12,Cluster 56,M12_D6_Heart,D6,6,heart,TRINITY_DN118_c0_g1_i1_1_55_1648_M12_D6_Heart,99.97224389920001,635164.117384,gnl|BL_ORD_ID|4884 Tbb1125VSG-4156 : N-terminus partial : 1521nt : contig PacBio-117,82.8625235405,86.7850098619,1521,1593,WT,1,heart,1,tissues,WT tissues,6
M12,Cluster 56,M12_D6_blood,D6,6,blood,TRINITY_DN513_c0_g1_i1_1_33_1653_M12_D6_blood,99.9123299437,624132.122215,gnl|BL_ORD_ID|4884 Tbb1125VSG-4156 : N-terminus partial : 1521nt : contig PacBio-117,81.4814814815,86.7850098619,1521,1620,WT,1,blood,1,blood,WT blood,6
M12,Cluster 56,M12_D6_Sub_Cu,D6,6,sub,TRINITY_DN0_c13_g2_i1_1_327_1947_RC_M12_D6_Sub_Cu,99.70477751690001,622985.436783,gnl|BL_ORD_ID|4884 Tbb1125VSG-4156 : N-terminus partial : 1521nt : contig PacBio-117,81.4814814815,86.7850098619,1521,1620,WT,1,s.c. fat,1,tissues,WT tissues,6
M12,Cluster 56,M12_D6_Ear,D6,6,ear,TRINITY_DN1_c11_g1_i1_1_1811_3323_M12_D6_Ear,83.8786285762,569660.2401,gnl|BL_ORD_ID|4884 Tbb1125VSG-4156 : N-terminus partial : 1521nt : contig PacBio-117,87.3015873016,86.7850098619,1521,1512,WT,1,skin,1,tissues,WT tissues,6
M12,Cluster 56,M12_D6_Gon_Fat,D6,6,gon,TRINITY_DN0_c0_g1_i1_1_1750_3262_M12_D6_Gon_Fat,93.23803682020001,630805.629548,gnl|BL_ORD_ID|4884 Tbb1125VSG-4156 : N-terminus partial : 1521nt : contig PacBio-117,87.3015873016,86.7850098619,1521,1512,WT,1,gon. fat,1,tissues,WT tissues,6
M12,Cluster 56,M12_D6_Brain,D6,6,brain,TRINITY_DN1_c0_g1_i1_1_150_1662_RC_M12_D6_Brain,98.42208624550001,660186.336792,gnl|BL_ORD_ID|4884 Tbb1125VSG-4156 : N-terminus partial : 1521nt : contig PacBio-117,87.3015873016,86.7850098619,1521,1512,WT,1,brain,1,tissues,WT tissues,6
m2,Cluster 272,m2_d6_lungs_S51_L001_R1_001.fastq,D6,6,lung,TRINITY_DN0_c0_g1_i1_1_41_1487_m2_d6_lungs_S51_L001_R1_001,59.1501225644,418928.98945800005,gnl|BL_ORD_ID|3946 Tbb1125VSG-2044 : Complete : 1446nt : contig PacBio-2580,96.8188105118,96.8188105118,1446,1446,AID,2,lung,m2_AID,tissues,AID tissues,6
m2,Cluster 272,m2_d6_blood_S50_L001_R1_001.fastq,D6,6,blood,TRINITY_DN0_c0_g1_i1_1_100_1546_RC_m2_d6_blood_S50_L001_R1_001,53.8391097387,391553.139594,gnl|BL_ORD_ID|3946 Tbb1125VSG-2044 : Complete : 1446nt : contig PacBio-2580,96.8188105118,96.8188105118,1446,1446,AID,2,blood,m2_AID,blood,AID blood,6
m2,Cluster 272,m2_d6_gon_fat_S44_L001_R1_001.fastq,D6,6,gon,TRINITY_DN2_c0_g1_i1_1_43_1489_m2_d6_gon_fat_S44_L001_R1_001,64.3953739426,455969.603105,gnl|BL_ORD_ID|3946 Tbb1125VSG-2044 : Complete : 1446nt : contig PacBio-2580,96.8188105118,96.8188105118,1446,1446,AID,2,gon. fat,m2_AID,tissues,AID tissues,6
m2,Cluster 272,m2_d6_brain_S11_L001_R1_001.fastq,D6,6,brain,TRINITY_DN1_c0_g1_i1_1_1569_3015_m2_d6_brain_S11_L001_R1_001,63.028926341500004,444946.689994,gnl|BL_ORD_ID|3946 Tbb1125VSG-2044 : Complete : 1446nt : contig PacBio-2580,96.8188105118,96.8188105118,1446,1446,AID,2,brain,m2_AID,tissues,AID tissues,6
m2,Cluster 272,m2_d6_sc_fat_S53_L001_R1_001.fastq,D6,6,sc,TRINITY_DN0_c0_g1_i1_1_41_1487_m2_d6_sc_fat_S53_L001_R1_001,62.9991115033,444248.545845,gnl|BL_ORD_ID|3946 Tbb1125VSG-2044 : Complete : 1446nt : contig PacBio-2580,96.8188105118,96.8188105118,1446,1446,AID,2,sc,m2_AID,tissues,AID tissues,6
m2,Cluster 272,m2_d6_ear_S26_L001_R1_001.fastq,D6,6,ear,TRINITY_DN0_c0_g1_i1_1_41_1487_m2_d6_ear_S26_L001_R1_001,45.4180361401,323793.52219399996,gnl|BL_ORD_ID|3946 Tbb1125VSG-2044 : Complete : 1446nt : contig PacBio-2580,96.8188105118,96.8188105118,1446,1446,AID,2,skin,m2_AID,tissues,AID tissues,6
m2,Cluster 272,m2_d6_heart_S33_L001_R1_001.fastq,D6,6,heart,TRINITY_DN0_c0_g1_i1_1_43_1489_m2_d6_heart_S33_L001_R1_001,61.8431092095,435928.227811,gnl|BL_ORD_ID|3946 Tbb1125VSG-2044 : Complete : 1446nt : contig PacBio-2580,96.8188105118,96.8188105118,1446,1446,AID,2,heart,m2_AID,tissues,AID tissues,6
M2,Cluster 56,M2_D14_blood_R1.fastq,D14,14,blood,NA,0.001,NA,NA,NA,NA,NA,NA,WT,NA,blood,NA,blood,WT blood,14
M2,Cluster 56,M2_D14_Brain_R1.fastq,D14,14,brain,NA,0.001,NA,NA,NA,NA,NA,NA,WT,NA,brain,NA,tissues,WT tissues,14
M2,Cluster 56,M2_D14_SubCu_R1.fastq,D14,14,sub,NA,0.001,NA,NA,NA,NA,NA,NA,WT,NA,s.c. fat,NA,tissues,WT tissues,14
M2,Cluster 56,M2_D14_GonFat_R1.fastq,D14,14,gon,NA,0.001,NA,NA,NA,NA,NA,NA,WT,NA,gon. fat,NA,tissues,WT tissues,14
M2,Cluster 56,M2_D6_blood_R1.fastq,D6,6,blood,TRINITY_DN0_c0_g1_i1_1_80_1592_M2_D6_blood_R1,99.9592563354,669563.321818,gnl|BL_ORD_ID|4884 Tbb1125VSG-4156 : N-terminus partial : 1521nt : contig PacBio-117,87.3015873016,86.7850098619,1521,1512,WT,1,blood,9,blood,WT blood,6
M2,Cluster 56,M2_D14_Ear_R1.fastq,D14,14,ear,NA,0.001,NA,NA,NA,NA,NA,NA,WT,NA,skin,NA,tissues,WT tissues,14
M2,Cluster 56,M2_D14_Heart_R1.fastq,D14,14,heart,NA,0.001,NA,NA,NA,NA,NA,NA,WT,NA,heart,NA,tissues,WT tissues,14
M2,Cluster 56,M2_D14_Lung_R1.fastq,D14,14,lung,NA,0.001,NA,NA,NA,NA,NA,NA,WT,NA,lung,NA,tissues,WT tissues,14
M27,Cluster 1830,M27_D6_blood,D6,6,blood,TRINITY_DN0_c0_g1_i1_1_110_1502_RC_M27_D6_blood,93.9260944053,680525.214282,gnl|BL_ORD_ID|2971 Tbb1125VSG-421 : Complete : 1392nt : contig PacBio-2904,99.9281609195,99.9281609195,1392,1392,WT,1,blood,2,blood,WT blood,6
M27,Cluster 1830,M27_D6_Lung,D6,6,lung,TRINITY_DN0_c0_g1_i1_1_114_1506_RC_M27_D6_Lung,97.6305693036,709819.924106,gnl|BL_ORD_ID|2971 Tbb1125VSG-421 : Complete : 1392nt : contig PacBio-2904,99.9281609195,99.9281609195,1392,1392,WT,1,lung,2,tissues,WT tissues,6
M27,Cluster 1830,M27_D6_Ear,D6,6,ear,TRINITY_DN0_c0_g1_i4_1_1865_3257_M27_D6_Ear,89.3556456069,645243.19714,gnl|BL_ORD_ID|2971 Tbb1125VSG-421 : Complete : 1392nt : contig PacBio-2904,99.9281609195,99.9281609195,1392,1392,WT,1,skin,2,tissues,WT tissues,6
M27,Cluster 1830,M27_D6_Sub_Cu,D6,6,sub,TRINITY_DN0_c0_g1_i4_1_1865_3257_M27_D6_Sub_Cu,98.00344890950001,711613.261005,gnl|BL_ORD_ID|2971 Tbb1125VSG-421 : Complete : 1392nt : contig PacBio-2904,99.9281609195,99.9281609195,1392,1392,WT,1,s.c. fat,2,tissues,WT tissues,6
M27,Cluster 1830,M27_D6_Heart,D6,6,heart,TRINITY_DN1_c0_g1_i1_1_101_1493_RC_M27_D6_Heart,96.74693236830001,702683.359234,gnl|BL_ORD_ID|2971 Tbb1125VSG-421 : Complete : 1392nt : contig PacBio-2904,99.7844827586,99.7844827586,1392,1392,WT,1,heart,2,tissues,WT tissues,6
M27,Cluster 1830,M27_D6_Gon_Fat,D6,6,gon,TRINITY_DN0_c0_g1_i1_1_1835_3227_M27_D6_Gon_Fat,96.7085112094,706395.942102,gnl|BL_ORD_ID|2971 Tbb1125VSG-421 : Complete : 1392nt : contig PacBio-2904,99.9281609195,99.9281609195,1392,1392,WT,1,gon. fat,2,tissues,WT tissues,6
M27,Cluster 1830,M27_D6_Brain,D6,6,brain,TRINITY_DN1_c0_g1_i4_1_1873_3265_M27_D6_Brain,97.6116409336,709448.041074,gnl|BL_ORD_ID|2971 Tbb1125VSG-421 : Complete : 1392nt : contig PacBio-2904,99.9281609195,99.9281609195,1392,1392,WT,1,brain,2,tissues,WT tissues,6
M3,Cluster 1830,M3_D14_Heart_R1.fastq,D14,14,heart,TRINITY_DN9_c0_g1_i2_1_1683_3075_M3_D14_Heart_R1,0.6741233,4841.662,gnl|BL_ORD_ID|2971 Tbb1125VSG-421 : Complete : 1392nt : contig PacBio-2904,100,100,1392,1392,WT,1,heart,12,tissues,WT tissues,14
M3,Cluster 1830,M3_D14_Brain_R1.fastq,D14,14,brain,TRINITY_DN6_c0_g1_i1_1_178_1570_M3_D14_Brain_R1,0.5712486,4062.536,gnl|BL_ORD_ID|2971 Tbb1125VSG-421 : Complete : 1392nt : contig PacBio-2904,100,100,1392,1392,WT,1,brain,12,tissues,WT tissues,14
M3,Cluster 1830,M3_D14_SubCu_R1.fastq,D14,14,sub,TRINITY_DN35_c0_g1_i4_1_159_1551_M3_D14_SubCu_R1,0.01301457,85.15457,gnl|BL_ORD_ID|2971 Tbb1125VSG-421 : Complete : 1392nt : contig PacBio-2904,100,100,1392,1392,WT,1,s.c. fat,12,tissues,WT tissues,14
M3,Cluster 1830,M3_D6_blood_R1.fastq,D6,6,blood,TRINITY_DN0_c0_g2_i1_1_104_1496_RC_M3_D6_blood_R1,88.3614,637404.6,gnl|BL_ORD_ID|2971 Tbb1125VSG-421 : Complete : 1392nt : contig PacBio-2904,99.78448,99.78448,1392,1392,WT,1,blood,12,blood,WT blood,6
M3,Cluster 1830,M3_D14_Lung_R1.fastq,D14,14,lung,TRINITY_DN68_c0_g1_i6_1_147_1539_M3_D14_Lung_R1,0.013009050000000001,85.01836,gnl|BL_ORD_ID|2971 Tbb1125VSG-421 : Complete : 1392nt : contig PacBio-2904,100,100,1392,1392,WT,1,lung,12,tissues,WT tissues,14
M3,Cluster 1830,M3_D14_blood_R1.fastq,D14,14,blood,NA,0.001,NA,NA,NA,NA,NA,NA,WT,NA,blood,NA,blood,WT blood,14
M3,Cluster 1830,M3_D14_GonFat_R1.fastq,D14,14,gon,TRINITY_DN47_c0_g3_i2_1_144_1536_M3_D14_GonFat_R1,0.06221727,426.8708,gnl|BL_ORD_ID|2971 Tbb1125VSG-421 : Complete : 1392nt : contig PacBio-2904,100,100,1392,1392,WT,1,gon. fat,12,tissues,WT tissues,14
M3,Cluster 1830,M3_D14_Ear_R1.fastq,D14,14,ear,TRINITY_DN709_c0_g1_i1_1_176_1568_M3_D14_Ear_R1,0.02977381,216.4145,gnl|BL_ORD_ID|2971 Tbb1125VSG-421 : Complete : 1392nt : contig PacBio-2904,100,100,1392,1392,WT,1,skin,12,tissues,WT tissues,14
m3,Cluster 866,m3_d6_blood_S42_L001_R1_001.fastq,D6,6,blood,TRINITY_DN0_c0_g1_i1_1_206_1598_m3_d6_blood_S42_L001_R1_001,99.9353501903,727828.887194,gnl|BL_ORD_ID|2971 Tbb1125VSG-421 : Complete : 1392nt : contig PacBio-2904,99.7844827586,99.7844827586,1392,1392,AID,2,blood,m3_AID,blood,AID blood,6
m3,Cluster 866,m3_d14_scfat_S35_L001_R1_001.fastq,D14,14,scfat,TRINITY_DN1_c0_g1_i1_1_177_1569_m3_d14_scfat_S35_L001_R1_001,9.870056337650004,73946.5833522,gnl|BL_ORD_ID|2971 Tbb1125VSG-421 : Complete : 1392nt : contig PacBio-2904,99.9281609195,99.9281609195,1392,1392,AID,2,scfat,m3_AID,tissues,AID tissues,14
m3,Cluster 866,m3_d14_lung_S10_L001_R1_001.fastq,D14,14,lung,TRINITY_DN0_c0_g1_i1_1_94_1486_RC_m3_d14_lung_S10_L001_R1_001,15.981553208400001,118935.508326,gnl|BL_ORD_ID|2971 Tbb1125VSG-421 : Complete : 1392nt : contig PacBio-2904,99.7844827586,99.7844827586,1392,1392,AID,2,lung,m3_AID,tissues,AID tissues,14
m3,Cluster 866,m3_d14_brain_S40_L001_R1_001.fastq,D14,14,brain,TRINITY_DN0_c0_g1_i1_1_1726_3118_m3_d14_brain_S40_L001_R1_001,83.70579832269999,618097.220525,gnl|BL_ORD_ID|2971 Tbb1125VSG-421 : Complete : 1392nt : contig PacBio-2904,99.7844827586,99.7844827586,1392,1392,AID,2,brain,m3_AID,tissues,AID tissues,14
m3,Cluster 866,m3_d14_blood_S1_L001_R1_001.fastq,D14,14,blood,TRINITY_DN12_c0_g1_i2_1_1658_3050_m3_d14_blood_S1_L001_R1_001,0.49189075959,3508.9015478500005,gnl|BL_ORD_ID|2971 Tbb1125VSG-421 : Complete : 1392nt : contig PacBio-2904,99.7844827586,99.7844827586,1392,1392,AID,2,blood,m3_AID,blood,AID blood,14
m3,Cluster 866,m3_d14_gonadal_fat_S36_L001_R1_001.fastq,D14,14,gonadal,TRINITY_DN242_c0_g2_i1_1_0_1378_RC_m3_d14_gonadal_fat_S36_L001_R1_001,0.0974816897849,700.5207241339999,gnl|BL_ORD_ID|2971 Tbb1125VSG-421 : Complete : 1392nt : contig PacBio-2904,99.7822931785,98.77873563219998,1392,1378,AID,2,gonadal,m3_AID,tissues,AID tissues,14
m3,Cluster 866,m3_d14_heart_S9_L001_R1_001.fastq,D14,14,heart,TRINITY_DN0_c0_g1_i2_1_80_1472_RC_m3_d14_heart_S9_L001_R1_001,50.04429046549999,371316.834801,gnl|BL_ORD_ID|2971 Tbb1125VSG-421 : Complete : 1392nt : contig PacBio-2904,99.7844827586,99.7844827586,1392,1392,AID,2,heart,m3_AID,tissues,AID tissues,14
M30,Cluster 56,M30_D6_blood,D6,6,blood,TRINITY_DN0_c0_g1_i1_1_107_1619_RC_M30_D6_blood,99.9783071594,669668.098035,gnl|BL_ORD_ID|4884 Tbb1125VSG-4156 : N-terminus partial : 1521nt : contig PacBio-117,87.3015873016,86.7850098619,1521,1512,WT,1,blood,5,blood,WT blood,6
M32,Cluster 56,M32_D6_Gon_Fat,D6,6,gon,TRINITY_DN0_c6_g1_i1_1_104_1793_RC_M32_D6_Gon_Fat,98.5764269938,592134.352767,gnl|BL_ORD_ID|4884 Tbb1125VSG-4156 : N-terminus partial : 1521nt : contig PacBio-117,78.1527531083,86.7850098619,1521,1689,WT,1,gon. fat,3,tissues,WT tissues,6
M32,Cluster 56,M32_D6_Ear,D6,6,ear,TRINITY_DN105_c0_g1_i1_1_56_1649_M32_D6_Ear,99.3345232414,633181.4005,gnl|BL_ORD_ID|4884 Tbb1125VSG-4156 : N-terminus partial : 1521nt : contig PacBio-117,82.8625235405,86.7850098619,1521,1593,WT,1,skin,3,tissues,WT tissues,6
M32,Cluster 56,M32_D6_Lung,D6,6,lung,TRINITY_DN55_c0_g1_i1_1_1747_3259_M32_D6_Lung,95.7539358528,643721.944656,gnl|BL_ORD_ID|4884 Tbb1125VSG-4156 : N-terminus partial : 1521nt : contig PacBio-117,87.3015873016,86.7850098619,1521,1512,WT,1,lung,3,tissues,WT tissues,6
M32,Cluster 56,M32_D6_Sub_Cu,D6,6,sub,TRINITY_DN0_c0_g1_i1_1_1803_3315_M32_D6_Sub_Cu,99.179541338800007,664780.784398,gnl|BL_ORD_ID|4884 Tbb1125VSG-4156 : N-terminus partial : 1521nt : contig PacBio-117,87.3015873016,86.7850098619,1521,1512,WT,1,s.c. fat,3,tissues,WT tissues,6
M32,Cluster 56,M32_D6_Heart,D6,6,heart,TRINITY_DN93_c0_g1_i1_1_1747_3259_M32_D6_Heart,99.5803877804,667218.707503,gnl|BL_ORD_ID|4884 Tbb1125VSG-4156 : N-terminus partial : 1521nt : contig PacBio-117,87.3015873016,86.7850098619,1521,1512,WT,1,heart,3,tissues,WT tissues,6
M32,Cluster 56,M32_D6_Brain,D6,6,brain,TRINITY_DN49_c0_g1_i1_1_1797_3309_M32_D6_Brain,99.68123009370001,667762.719112,gnl|BL_ORD_ID|4884 Tbb1125VSG-4156 : N-terminus partial : 1521nt : contig PacBio-117,87.3015873016,86.7850098619,1521,1512,WT,1,brain,3,tissues,WT tissues,6
M32,Cluster 56,M32_D6_blood,D6,6,blood,TRINITY_DN0_c0_g1_i1_1_80_1592_M32_D6_blood,99.9628792819,669578.570201,gnl|BL_ORD_ID|4884 Tbb1125VSG-4156 : N-terminus partial : 1521nt : contig PacBio-117,87.3015873016,86.7850098619,1521,1512,WT,1,blood,3,blood,WT blood,6
M33,Cluster 56,M33_D6_Sub_Cu,D6,6,sub,TRINITY_DN140_c0_g1_i1_1_1750_3262_M33_D6_Sub_Cu,89.33310100450001,607594.955014,gnl|BL_ORD_ID|4884 Tbb1125VSG-4156 : N-terminus partial : 1521nt : contig PacBio-117,87.3015873016,86.7850098619,1521,1512,WT,1,s.c. fat,4,tissues,WT tissues,6
M33,Cluster 56,M33_D6_Ear,D6,6,ear,TRINITY_DN86_c0_g1_i1_1_55_1648_M33_D6_Ear,99.23208688220001,632689.915272,gnl|BL_ORD_ID|4884 Tbb1125VSG-4156 : N-terminus partial : 1521nt : contig PacBio-117,82.8625235405,86.7850098619,1521,1593,WT,1,skin,4,tissues,WT tissues,6
M33,Cluster 56,M33_D6_Brain,D6,6,brain,TRINITY_DN70_c0_g1_i1_1_93_1605_M33_D6_Brain,99.82943507120001,668789.307777,gnl|BL_ORD_ID|4884 Tbb1125VSG-4156 : N-terminus partial : 1521nt : contig PacBio-117,87.3015873016,86.7850098619,1521,1512,WT,1,brain,4,tissues,WT tissues,6
M33,Cluster 56,M33_D6_Lung,D6,6,lung,TRINITY_DN0_c0_g1_i1_1_1750_3262_M33_D6_Lung,98.9844837824,663940.101958,gnl|BL_ORD_ID|4884 Tbb1125VSG-4156 : N-terminus partial : 1521nt : contig PacBio-117,87.3015873016,86.7850098619,1521,1512,WT,1,lung,4,tissues,WT tissues,6
M33,Cluster 56,M33_D6_Gon_Fat,D6,6,gon,TRINITY_DN1_c0_g1_i1_1_58_1651_M33_D6_Gon_Fat,94.52397397860001,606977.162558,gnl|BL_ORD_ID|4884 Tbb1125VSG-4156 : N-terminus partial : 1521nt : contig PacBio-117,82.8625235405,86.7850098619,1521,1593,WT,1,gon. fat,4,tissues,WT tissues,6
M33,Cluster 56,M33_D6_Heart,D6,6,heart,TRINITY_DN1_c0_g1_i1_1_1750_3262_M33_D6_Heart,99.85864143250001,668965.013429,gnl|BL_ORD_ID|4884 Tbb1125VSG-4156 : N-terminus partial : 1521nt : contig PacBio-117,87.3015873016,86.7850098619,1521,1512,WT,1,heart,4,tissues,WT tissues,6
M33,Cluster 56,M33_D6_blood,D6,6,blood,TRINITY_DN0_c1_g1_i1_1_80_1592_M33_D6_blood,99.9481085207,669536.710031,gnl|BL_ORD_ID|4884 Tbb1125VSG-4156 : N-terminus partial : 1521nt : contig PacBio-117,87.3015873016,86.7850098619,1521,1512,WT,1,blood,4,blood,WT blood,6
M34,Cluster 56,M34_D14_Ear_R1.fastq,D14,14,ear,NA,0.001,NA,NA,NA,NA,NA,NA,WT,NA,skin,NA,tissues,WT tissues,14
M34,Cluster 56,M34_D14_Lung_R1.fastq,D14,14,lung,NA,0.001,NA,NA,NA,NA,NA,NA,WT,NA,lung,NA,tissues,WT tissues,14
M34,Cluster 56,M34_D14_blood_R1.fastq,D14,14,blood,NA,0.001,NA,NA,NA,NA,NA,NA,WT,NA,blood,NA,blood,WT blood,14
M34,Cluster 56,M34_D14_GonFat_R1.fastq,D14,14,gon,NA,0.001,NA,NA,NA,NA,NA,NA,WT,NA,gon. fat,NA,tissues,WT tissues,14
M34,Cluster 56,M34_D14_SubCu_R1.fastq,D14,14,sub,NA,0.001,NA,NA,NA,NA,NA,NA,WT,NA,s.c. fat,NA,tissues,WT tissues,14
M34,Cluster 56,M34_D14_Brain_R1.fastq,D14,14,brain,NA,0.001,NA,NA,NA,NA,NA,NA,WT,NA,brain,NA,tissues,WT tissues,14
M34,Cluster 56,M34_D14_Heart_R1.fastq,D14,14,heart,NA,0.001,NA,NA,NA,NA,NA,NA,WT,NA,heart,NA,tissues,WT tissues,14
M34,Cluster 56,M34_D6_blood_R1.fastq,D6,6,blood,TRINITY_DN0_c1_g1_i1_1_80_1592_M34_D6_blood_R1,99.96013,669542.7,gnl|BL_ORD_ID|4884 Tbb1125VSG-4156 : N-terminus partial : 1521nt : contig PacBio-117,87.30159,86.78501,1521,1512,WT,1,blood,10,blood,WT blood,6
