mouse,cluster,mouse_final,samplename,day,day_num,tissue,VSG,Percent,RPKM,hit_VSG,pct_id_vs_query,pct_id_vs_match,match_VSG_length,assembled_VSG_length,strain,mode,tissue_final,day_num_char,space
M2,Cluster 1831,9,M2_D14_SubCu_R1.fastq,D14,14,sub,TRINITY_DN3_c0_g1_i1_1_1613_3005_M2_D14_SubCu_R1,20.2196290479,142408.357352,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,78.9511494253,72.3978919631,1518,1392,WT,IV,s.c. fat,14,tissues
M2,Cluster 1831,9,M2_D14_Brain_R1.fastq,D14,14,brain,TRINITY_DN0_c0_g1_i1_1_117_1509_RC_M2_D14_Brain_R1,37.459023704699995,296795.387089,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,78.8793103448,72.3320158103,1518,1392,WT,IV,brain,14,tissues
M2,Cluster 1831,9,M2_D14_Ear_R1.fastq,D14,14,ear,TRINITY_DN0_c0_g1_i1_1_117_1509_RC_M2_D14_Ear_R1,46.9553117751,342356.394327,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,78.8793103448,72.3320158103,1518,1392,WT,IV,skin,14,tissues
M2,Cluster 1831,9,M2_D14_blood_R1.fastq,D14,14,blood,TRINITY_DN3_c0_g1_i5_1_84_1476_M2_D14_blood_R1,0.0689414773617,492.414662775,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,79.4540229885,72.859025032900007,1518,1392,WT,IV,blood,14,blood
M2,Cluster 1831,9,M2_D14_GonFat_R1.fastq,D14,14,gon,TRINITY_DN592_c0_g1_i1_1_1622_3014_M2_D14_GonFat_R1,8.85756379223,63306.3068393,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,78.8793103448,72.3320158103,1518,1392,WT,IV,gon. fat,14,tissues
M2,Cluster 294,9,M2_D14_Heart_R1.fastq,D14,14,heart,TRINITY_DN2_c0_g3_i1_1_1_1521_RC_M2_D14_Heart_R1,0.434065540387,3252.5771492,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,98.6184210526,98.1663392272,1527,1520,WT,IV,heart,14,tissues
M2,Cluster 294,9,M2_D14_Brain_R1.fastq,D14,14,brain,TRINITY_DN1_c1_g3_i1_1_77_1619_M2_D14_Brain_R1,4.56684534529,36177.0777692,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,99.0272373541,100,1527,1542,WT,IV,brain,14,tissues
M2,Cluster 294,9,M2_D14_blood_R1.fastq,D14,14,blood,TRINITY_DN130_c0_g1_i1_1_0_580_RC_M2_D14_blood_R1,0.001,11.7615529222,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,100,37.98297315,1527,580,WT,IV,blood,14,blood
M2,Cluster 294,9,M2_D14_Lung_R1.fastq,D14,14,lung,TRINITY_DN258_c0_g1_i1_1_1_1314_RC_M2_D14_Lung_R1,0.154356865596,1189.80546478,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,98.8575780655,85.0032743942,1527,1313,WT,IV,lung,14,tissues
M2,Cluster 294,9,M2_D14_Ear_R1.fastq,D14,14,ear,TRINITY_DN85_c0_g1_i1_1_46_1368_M2_D14_Ear_R1,0.014082357828300002,95.386955661,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,98.8653555219,85.5926653569,1527,1322,WT,IV,skin,14,tissues
M2,Cluster 294,9,M2_D14_SubCu_R1.fastq,D14,14,sub,TRINITY_DN241_c0_g1_i1_1_1445_2788_M2_D14_SubCu_R1,0.0372372012172,255.233937383,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,98.8830975428,86.9679109365,1527,1343,WT,IV,s.c. fat,14,tissues
M2,Cluster 294,9,M2_D14_GonFat_R1.fastq,D14,14,gon,TRINITY_DN607_c0_g1_i1_1_2_1324_RC_M2_D14_GonFat_R1,0.114902385596,814.168964557,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,98.8653555219,85.5926653569,1527,1322,WT,IV,gon. fat,14,tissues
M2,Cluster 504,9,M2_D14_Heart_R1.fastq,D14,14,heart,TRINITY_DN688_c0_g1_i1_1_1257_2754_M2_D14_Heart_R1,1.1019195094799998,8268.55361538,gnl|BL_ORD_ID|2616 Tbb1125VSG-43.1 : Complete : 1497nt : Duplicate : contig Illumina-5219,99.9331997328,99.9331997328,1497,1497,WT,IV,heart,14,tissues
M2,Cluster 504,9,M2_D14_Ear_R1.fastq,D14,14,ear,TRINITY_DN302_c0_g2_i1_1_165_1662_M2_D14_Ear_R1,2.0832585517499997,15182.3017501,gnl|BL_ORD_ID|2616 Tbb1125VSG-43.1 : Complete : 1497nt : Duplicate : contig Illumina-5219,100,100,1497,1497,WT,IV,skin,14,tissues
M2,Cluster 504,9,M2_D14_Lung_R1.fastq,D14,14,lung,TRINITY_DN0_c0_g1_i4_2_80_1577_RC_M2_D14_Lung_R1,3.456312727,26807.7333814,gnl|BL_ORD_ID|2616 Tbb1125VSG-43.1 : Complete : 1497nt : Duplicate : contig Illumina-5219,99.8663994656,99.8663994656,1497,1497,WT,IV,lung,14,tissues
M2,Cluster 504,9,M2_D14_blood_R1.fastq,D14,14,blood,TRINITY_DN0_c1_g1_i1_1_1827_3324_M2_D14_blood_R1,16.058643177100002,116379.850086,gnl|BL_ORD_ID|2616 Tbb1125VSG-43.1 : Complete : 1497nt : Duplicate : contig Illumina-5219,100,100,1497,1497,WT,IV,blood,14,blood
M2,Cluster 504,9,M2_D14_SubCu_R1.fastq,D14,14,sub,TRINITY_DN0_c0_g1_i1_1_1265_2762_M2_D14_SubCu_R1,64.5019637852,454307.573402,gnl|BL_ORD_ID|2616 Tbb1125VSG-43.1 : Complete : 1497nt : Duplicate : contig Illumina-5219,99.9331997328,99.9331997328,1497,1497,WT,IV,s.c. fat,14,tissues
M2,Cluster 504,9,M2_D14_Brain_R1.fastq,D14,14,brain,TRINITY_DN326_c0_g1_i1_1_1873_3370_M2_D14_Brain_R1,3.26250154451,25842.2233118,gnl|BL_ORD_ID|2616 Tbb1125VSG-43.1 : Complete : 1497nt : Duplicate : contig Illumina-5219,99.9331997328,99.9331997328,1497,1497,WT,IV,brain,14,tissues
M2,Cluster 504,9,M2_D14_GonFat_R1.fastq,D14,14,gon,TRINITY_DN0_c0_g2_i1_1_1873_3370_M2_D14_GonFat_R1,27.0546159724,193377.991063,gnl|BL_ORD_ID|2616 Tbb1125VSG-43.1 : Complete : 1497nt : Duplicate : contig Illumina-5219,99.9331997328,99.9331997328,1497,1497,WT,IV,gon. fat,14,tissues
M27,Cluster 1831,2,M27_D6_Heart,D6,6,heart,TRINITY_DN168_c0_g1_i1_1_72_1464_M27_D6_Heart,0.001,68.6401649782,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,78.8793103448,72.3320158103,1518,1392,WT,IV,heart,6,tissues
M27,Cluster 1831,2,M27_D6_Gon_Fat,D6,6,gon,TRINITY_DN151_c0_g1_i1_1_125_1517_M27_D6_Gon_Fat,0.0320423136319,226.747272355,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,78.8793103448,72.3320158103,1518,1392,WT,IV,gon. fat,6,tissues
M27,Cluster 1831,2,M27_D6_Brain,D6,6,brain,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,brain,6,tissues
M27,Cluster 1831,2,M27_D6_blood,D6,6,blood,TRINITY_DN135_c0_g1_i1_1_25_1417_M27_D6_blood,0.001,24.9327106342,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,78.8793103448,72.3320158103,1518,1392,WT,IV,blood,6,blood
M27,Cluster 1831,2,M27_D6_Sub_Cu,D6,6,sub,TRINITY_DN134_c0_g1_i1_1_64_1456_RC_M27_D6_Sub_Cu,0.001,24.3556599044,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,78.8793103448,72.3320158103,1518,1392,WT,IV,s.c. fat,6,tissues
M27,Cluster 1831,2,M27_D6_Ear,D6,6,ear,TRINITY_DN104_c0_g1_i1_1_68_1460_M27_D6_Ear,0.0373373666783,262.397533916,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,78.8793103448,72.3320158103,1518,1392,WT,IV,skin,6,tissues
M27,Cluster 1831,2,M27_D6_Lung,D6,6,lung,TRINITY_DN79_c0_g1_i1_1_0_1333_RC_M27_D6_Lung,0.001,28.1710163748,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,82.3705926482,72.3320158103,1518,1333,WT,IV,lung,6,tissues
M27,Cluster 294,2,M27_D6_Gon_Fat,D6,6,gon,TRINITY_DN4_c0_g2_i1_1_103_1645_RC_M27_D6_Gon_Fat,1.2722553882499998,9285.83143546,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,99.0272373541,100,1527,1542,WT,IV,gon. fat,6,tissues
M27,Cluster 294,2,M27_D6_Ear,D6,6,ear,TRINITY_DN6_c0_g1_i1_1_0_1327_RC_M27_D6_Ear,0.0537397862445,380.841847246,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,98.869630746,85.9201047806,1527,1327,WT,IV,skin,6,tissues
M27,Cluster 294,2,M27_D6_Brain,D6,6,brain,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,brain,6,tissues
M27,Cluster 294,2,M27_D6_Sub_Cu,D6,6,sub,TRINITY_DN172_c0_g1_i1_1_46_1351_M27_D6_Sub_Cu,0.001,30.272380396,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,98.8505747126,84.4793713163,1527,1305,WT,IV,s.c. fat,6,tissues
M27,Cluster 294,2,M27_D6_Lung,D6,6,lung,TRINITY_DN92_c0_g1_i1_1_0_1337_RC_M27_D6_Lung,0.118189558205,852.031652953,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,98.8780852655,86.574983628,1527,1337,WT,IV,lung,6,tissues
M27,Cluster 294,2,M27_D6_Heart,D6,6,heart,TRINITY_DN47_c0_g1_i2_1_1_1320_RC_M27_D6_Heart,0.021318521957,147.577132329,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,98.8627748294,85.3962017027,1527,1319,WT,IV,heart,6,tissues
M27,Cluster 294,2,M27_D6_blood,D6,6,blood,TRINITY_DN151_c0_g1_i1_1_1_1320_RC_M27_D6_blood,0.001,61.2441149629,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,98.8627748294,85.3962017027,1527,1319,WT,IV,blood,6,blood
M27,Cluster 504,2,M27_D6_Heart,D6,6,heart,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,heart,6,tissues
M27,Cluster 504,2,M27_D6_blood,D6,6,blood,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,blood,6,blood
M27,Cluster 504,2,M27_D6_Gon_Fat,D6,6,gon,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,gon. fat,6,tissues
M27,Cluster 504,2,M27_D6_Brain,D6,6,brain,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,brain,6,tissues
M27,Cluster 504,2,M27_D6_Lung,D6,6,lung,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,lung,6,tissues
M27,Cluster 504,2,M27_D6_Ear,D6,6,ear,TRINITY_DN35_c0_g1_i1_1_136_1633_M27_D6_Ear,0.013221110302399999,88.2504567115,gnl|BL_ORD_ID|2616 Tbb1125VSG-43.1 : Complete : 1497nt : Duplicate : contig Illumina-5219,99.9331997328,99.9331997328,1497,1497,WT,IV,skin,6,tissues
M27,Cluster 504,2,M27_D6_Sub_Cu,D6,6,sub,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,s.c. fat,6,tissues
M3,Cluster 1831,12,M3_D14_GonFat_R1.fastq,D14,14,gon,TRINITY_DN10_c0_g1_i10_1_68_1460_M3_D14_GonFat_R1,0.08974272,618.807,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,79.52586,72.9249,1518,1392,WT,IV,gon. fat,14,tissues
M3,Cluster 1831,12,M3_D14_Lung_R1.fastq,D14,14,lung,TRINITY_DN0_c0_g1_i1_1_117_1509_RC_M3_D14_Lung_R1,31.75053,224771.6,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,78.87931,72.33202,1518,1392,WT,IV,lung,14,tissues
M3,Cluster 1831,12,M3_D14_Brain_R1.fastq,D14,14,brain,TRINITY_DN2_c0_g1_i1_2_117_1509_RC_M3_D14_Brain_R1,8.688187,61888.82,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,78.87931,72.33202,1518,1392,WT,IV,brain,14,tissues
M3,Cluster 1831,12,M3_D14_SubCu_R1.fastq,D14,14,sub,TRINITY_DN0_c0_g1_i1_1_1647_3039_M3_D14_SubCu_R1,50.97888,361311.3,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,78.87931,72.33202,1518,1392,WT,IV,s.c. fat,14,tissues
M3,Cluster 1831,12,M3_D14_Ear_R1.fastq,D14,14,ear,TRINITY_DN2_c0_g1_i6_1_47_1439_RC_M3_D14_Ear_R1,5.610363,42189.31,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,78.95115,72.39789,1518,1392,WT,IV,skin,14,tissues
M3,Cluster 1831,12,M3_D14_blood_R1.fastq,D14,14,blood,TRINITY_DN28_c0_g1_i9_1_16_1408_RC_M3_D14_blood_R1,0.001,60.87099,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,79.66954,73.05665,1518,1392,WT,IV,blood,14,blood
M3,Cluster 1831,12,M3_D14_Heart_R1.fastq,D14,14,heart,TRINITY_DN0_c0_g2_i1_1_117_1509_RC_M3_D14_Heart_R1,30.499100000000002,219367.7,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,78.87931,72.33202,1518,1392,WT,IV,heart,14,tissues
M3,Cluster 294,12,M3_D14_Heart_R1.fastq,D14,14,heart,TRINITY_DN95_c0_g1_i2_1_77_1400_M3_D14_Heart_R1,0.08707852,619.1482,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,98.86621,85.65815,1527,1323,WT,IV,heart,14,tissues
M3,Cluster 294,12,M3_D14_GonFat_R1.fastq,D14,14,gon,TRINITY_DN14_c4_g1_i1_1_59_1560_M3_D14_GonFat_R1,0.06359881,436.5043,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,98.8008,97.11853,1527,1501,WT,IV,gon. fat,14,tissues
M3,Cluster 294,12,M3_D14_Lung_R1.fastq,D14,14,lung,TRINITY_DN78_c0_g1_i1_1_72_1377_M3_D14_Lung_R1,0.013209499999999999,86.43744,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,98.85057,84.47937,1527,1305,WT,IV,lung,14,tissues
M3,Cluster 294,12,M3_D14_blood_R1.fastq,D14,14,blood,TRINITY_DN276_c0_g1_i1_1_46_1409_M3_D14_blood_R1,0.001,14.54462,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,98.89949,88.27767,1527,1363,WT,IV,blood,14,blood
M3,Cluster 294,12,M3_D14_SubCu_R1.fastq,D14,14,sub,TRINITY_DN12_c0_g1_i1_1_46_1576_M3_D14_SubCu_R1,0.001,19.22269,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,99.01961,99.21415,1527,1530,WT,IV,s.c. fat,14,tissues
M3,Cluster 294,12,M3_D14_Brain_R1.fastq,D14,14,brain,TRINITY_DN10_c1_g1_i2_1_1_1525_RC_M3_D14_Brain_R1,0.516644,3673.525,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,99.01575,98.82122,1527,1524,WT,IV,brain,14,tissues
M3,Cluster 294,12,M3_D14_Ear_R1.fastq,D14,14,ear,TRINITY_DN1199_c0_g1_i1_1_41_1365_M3_D14_Ear_R1,0.001,42.07916,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,98.86707,85.72364,1527,1324,WT,IV,skin,14,tissues
M3,Cluster 504,12,M3_D14_Brain_R1.fastq,D14,14,brain,TRINITY_DN2_c0_g4_i1_1_165_1662_M3_D14_Brain_R1,4.677770000000001,33318.01,gnl|BL_ORD_ID|2616 Tbb1125VSG-43.1 : Complete : 1497nt : Duplicate : contig Illumina-5219,100,100,1497,1497,WT,IV,brain,14,tissues
M3,Cluster 504,12,M3_D14_Ear_R1.fastq,D14,14,ear,TRINITY_DN2_c1_g1_i1_1_1047_2544_M3_D14_Ear_R1,34.93195,262723.7,gnl|BL_ORD_ID|2616 Tbb1125VSG-43.1 : Complete : 1497nt : Duplicate : contig Illumina-5219,100,100,1497,1497,WT,IV,skin,14,tissues
M3,Cluster 504,12,M3_D14_blood_R1.fastq,D14,14,blood,TRINITY_DN0_c0_g1_i1_1_1285_2782_M3_D14_blood_R1,93.87138,641719.2,gnl|BL_ORD_ID|2616 Tbb1125VSG-43.1 : Complete : 1497nt : Duplicate : contig Illumina-5219,100,100,1497,1497,WT,IV,blood,14,blood
M3,Cluster 504,12,M3_D14_Lung_R1.fastq,D14,14,lung,TRINITY_DN4_c0_g1_i4_1_78_1575_RC_M3_D14_Lung_R1,10.22093,72352.27,gnl|BL_ORD_ID|2616 Tbb1125VSG-43.1 : Complete : 1497nt : Duplicate : contig Illumina-5219,99.3988,99.3988,1497,1497,WT,IV,lung,14,tissues
M3,Cluster 504,12,M3_D14_Heart_R1.fastq,D14,14,heart,TRINITY_DN4_c0_g1_i1_1_241_1738_M3_D14_Heart_R1,8.719593,62711.37,gnl|BL_ORD_ID|2616 Tbb1125VSG-43.1 : Complete : 1497nt : Duplicate : contig Illumina-5219,99.9332,99.9332,1497,1497,WT,IV,heart,14,tissues
M3,Cluster 504,12,M3_D14_SubCu_R1.fastq,D14,14,sub,TRINITY_DN6_c0_g1_i1_1_61_1558_RC_M3_D14_SubCu_R1,0.4208554,2975.771,gnl|BL_ORD_ID|2616 Tbb1125VSG-43.1 : Complete : 1497nt : Duplicate : contig Illumina-5219,99.8664,99.8664,1497,1497,WT,IV,s.c. fat,14,tissues
M3,Cluster 504,12,M3_D14_GonFat_R1.fastq,D14,14,gon,TRINITY_DN0_c0_g1_i1_1_1285_2782_M3_D14_GonFat_R1,93.67478,653191.5,gnl|BL_ORD_ID|2616 Tbb1125VSG-43.1 : Complete : 1497nt : Duplicate : contig Illumina-5219,100,100,1497,1497,WT,IV,gon. fat,14,tissues
M30,Cluster 1831,5,M30_D10_Sub_Cu,D10,10,sub,TRINITY_DN170_c0_g1_i1_1_1641_3033_M30_D10_Sub_Cu,0.131590608238,930.041258106,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,78.8793103448,72.3320158103,1518,1392,WT,IV,s.c. fat,10,tissues
M30,Cluster 1831,5,M30_D10_blood,D10,10,blood,TRINITY_DN3_c0_g1_i1_1_1602_2994_M30_D10_blood,1.1968493815199999,8151.25046177,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,78.8793103448,72.3320158103,1518,1392,WT,IV,blood,10,blood
M30,Cluster 1831,5,M30_D10_Brain,D10,10,brain,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,brain,10,tissues
M30,Cluster 1831,5,M30_D10_Heart,D10,10,heart,TRINITY_DN28_c0_g1_i1_1_26_1418_RC_M30_D10_Heart,0.842205919217,6447.02428495,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,78.8793103448,72.3320158103,1518,1392,WT,IV,heart,10,tissues
M30,Cluster 1831,5,M30_D10_Gon_Fat,D10,10,gon,TRINITY_DN71_c0_g1_i1_1_93_1477_M30_D10_Gon_Fat,0.036593438818,249.524514948,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,79.3352601156,72.3320158103,1518,1384,WT,IV,gon. fat,10,tissues
M30,Cluster 1831,5,M30_D10_Ear,D10,10,ear,TRINITY_DN243_c0_g1_i2_1_27_1419_RC_M30_D10_Ear,3.10341159059,22653.9243872,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,78.8793103448,72.3320158103,1518,1392,WT,IV,skin,10,tissues
M30,Cluster 1831,5,M30_D10_Lung,D10,10,lung,TRINITY_DN2_c2_g1_i1_1_97_1446_M30_D10_Lung,0.609622467599,4567.42304867,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,81.3936249073,72.3320158103,1518,1349,WT,IV,lung,10,tissues
M30,Cluster 294,5,M30_D10_Sub_Cu,D10,10,sub,TRINITY_DN514_c0_g1_i1_2_0_1336_RC_M30_D10_Sub_Cu,3.6259474389,25816.1802149,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,98.877245509,86.5094957433,1527,1336,WT,IV,s.c. fat,10,tissues
