file	tissue	VSG	Percent	RPKM	hit_VSG	pct_id_vs_query	pct_id_vs_match	match_VSG_length	assembled_VSG_length
503_Salivery_Gland.fq	salivery_gland	TRINITY_DN0_c2_g2_i1_1_0_1546_RC_503_Salivery_Gland	18.4562928645	143810.706963	gnl|BL_ORD_ID|2664 Tbb1125VSG-113 : Complete but atypical GPI site : 1608nt : contig PacBio-103	13.7774902975	13.2462686567	1608	1546
503_Salivery_Gland.fq	salivery_gland	TRINITY_DN793_c0_g1_i1_2_106_1603_RC_503_Salivery_Gland	14.2785408547	111257.827874	gnl|BL_ORD_ID|5836 Tbb1125VSG-5451 : C-terminus partial : 918nt : contig PacBio-144	42.1509686039	68.7363834423	918	1497
503_Salivery_Gland.fq	salivery_gland	TRINITY_DN0_c0_g1_i6_1_1547_2987_503_Salivery_Gland	6.80824502238	53049.5770214	gnl|BL_ORD_ID|5553 Tbb1125VSG-5138 : Internal partial : 1119nt : contig PacBio-2602	12.0833333333	15.5495978552	1119	1440
503_Salivery_Gland.fq	salivery_gland	TRINITY_DN591_c0_g1_i1_1_78_1560_RC_503_Salivery_Gland	0.0115529209067	90.0199046083	gnl|BL_ORD_ID|239 Tb427VSG-518 : GB Accession KC613646 : 1482nt : Complete : contig1423.	100.0	100.0	1482	1482
503_Salivery_Gland.fq	salivery_gland	TRINITY_DN344_c0_g1_i1_1_27_1458_503_Salivery_Gland	0.0051887994138	40.4309206332	gnl|BL_ORD_ID|352 Tb427VSG-632 : GB Accession KC613757 : 1431nt : Complete : contig974.	99.8602375961	99.8602375961	1431	1431
503_Salivery_Gland.fq	salivery_gland	TRINITY_DN35_c0_g1_i4_1_168_1131_RC_503_Salivery_Gland	0.019671984621	153.283329241	gnl|BL_ORD_ID|3536 Tbb1125VSG-1421 : N-terminus partial : 1071nt : contig Illumina-5251	99.3769470405	89.3557422969	1071	963
503_Salivery_Gland.fq	salivery_gland	TRINITY_DN606_c0_g1_i1_1_1562_2969_503_Salivery_Gland	8.30927782357	64745.5654791	gnl|BL_ORD_ID|5951 Tbb1125VSG-5574 : Internal partial : 849nt : contig PacBio-2363	12.7221037669	21.0836277974	849	1407
503_Salivery_Gland.fq	salivery_gland	TRINITY_DN533_c0_g1_i1_1_1671_3228_503_Salivery_Gland	0.781519716056	6089.57084159	gnl|BL_ORD_ID|2564 Tb427VSG-3805 : GB Accession KC612391 : 864nt : Internal partial : contig6688.	45.6005138086	82.1759259259	864	1557
503_Salivery_Gland.fq	salivery_gland	TRINITY_DN0_c1_g1_i1_1_64_1504_503_Salivery_Gland	17.4018959126	135594.887449	gnl|BL_ORD_ID|5334 Tbb1125VSG-4895 : Internal partial : 1299nt : contig PacBio-102	72.5	80.3695150115	1299	1440
503_Salivery_Gland.fq	salivery_gland	TRINITY_DN407_c0_g1_i1_1_352_2074_503_Salivery_Gland	0.0103507502757	80.6526384074	gnl|BL_ORD_ID|1191 Tb427VSG-1676 : GB Accession KC613160 : 987nt : N-terminus partial : contig6658.	4.23925667828	7.39614994934	987	1722
